Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,NULL,NULL,NULL,NULL,2020.0,NULL,2.0,NULL,10.0,NULL,Historical Observations,NULL,2020.0,NULL,2.0,NULL,16.0,NULL,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,NULL,NULL,NULL,NULL,2020.0,NULL,1.0,NULL,31.0,NULL,Historical Observations,NULL,2020.0,NULL,1.0,NULL,31.0,NULL,10.83,-85.324
353010,Fernandina,22347,Confirmed Eruption,NULL,NULL,NULL,NULL,2020.0,NULL,1.0,NULL,12.0,NULL,Historical Observations,NULL,2020.0,NULL,1.0,NULL,12.0,NULL,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,NULL,NULL,NULL,NULL,2020.0,NULL,1.0,NULL,12.0,NULL,Historical Observations,NULL,2020.0,NULL,1.0,NULL,22.0,NULL,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,NULL,NULL,NULL,NULL,2020.0,NULL,1.0,NULL,11.0,NULL,Historical Observations,>,2020.0,NULL,2.0,NULL,13.0,NULL,30.443,130.217
241040,White Island,22338,Confirmed Eruption,1978/90 Crater Complex,2.0,NULL,NULL,2019.0,NULL,12.0,NULL,9.0,NULL,Historical Observations,NULL,2019.0,NULL,12.0,NULL,9.0,NULL,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,NULL,NULL,NULL,NULL,2019.0,NULL,12.0,NULL,7.0,NULL,Historical Observations,>,2020.0,NULL,2.0,NULL,16.0,NULL,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,NULL,1.0,NULL,NULL,2019.0,NULL,12.0,NULL,5.0,NULL,Historical Observations,>,2020.0,NULL,2.0,NULL,15.0,NULL,27.247,140.874
311240,Cleveland,22342,Uncertain Eruption,NULL,NULL,NULL,NULL,2019.0,NULL,11.0,NULL,7.0,NULL,Historical Observations,NULL,2019.0,NULL,12.0,?,7.0,NULL,52.825,-169.944
282060,Kikai,22339,Confirmed Eruption,NULL,NULL,NULL,NULL,2019.0,NULL,11.0,NULL,2.0,NULL,Historical Observations,>,2020.0,NULL,2.0,NULL,11.0,NULL,30.793,130.305
300260,Klyuchevskoy,22335,Confirmed Eruption,NULL,NULL,NULL,NULL,2019.0,NULL,10.0,NULL,24.0,NULL,Historical Observations,>,2020.0,NULL,2.0,NULL,19.0,NULL,56.056,160.642
243070,Lateiki,22334,Confirmed Eruption,NULL,1.0,NULL,NULL,2019.0,NULL,10.0,NULL,13.0,NULL,Historical Observations,NULL,2019.0,NULL,10.0,NULL,22.0,NULL,-19.18,-174.87
283110,Asamayama,22326,Confirmed Eruption,NULL,NULL,NULL,NULL,2019.0,NULL,8.0,NULL,7.0,NULL,Historical Observations,NULL,2019.0,NULL,8.0,NULL,25.0,NULL,36.406,138.523
357090,Copahue,22336,Confirmed Eruption,NULL,NULL,NULL,NULL,2019.0,NULL,8.0,NULL,2.0,NULL,Historical Observations,NULL,2019.0,NULL,11.0,?,12.0,NULL,-37.856,-71.183
263090,Tangkuban Parahu,22325,Confirmed Eruption,NULL,NULL,NULL,NULL,2019.0,NULL,7.0,NULL,26.0,NULL,Historical Observations,NULL,2019.0,NULL,9.0,NULL,17.0,NULL,-6.77,107.6
