eruptions_count,volcano_name
94,"Fournaise, Piton de la (France)"
83,Etna (Italy)
77,Asosan (Japan)
73,Klyuchevskoy (Russia)
57,Ruapehu (New Zealand)
53,Kilauea (United States)
52,Asamayama (Japan)
52,Bezymianny (Russia)
49,Raung (Indonesia)
48,Karangetang (Indonesia)
48,Marapi (Indonesia)
48,Tongariro (New Zealand)
48,Villarrica (Chile)
45,Krakatau (Indonesia)
43,Ambrym (Vanuatu)
43,Nyamulagira (DR Congo)
43,Poas (Costa Rica)
43,Ulawun (Papua New Guinea)
42,Telica (Nicaragua)
39,Izu-Oshima (Japan)
